@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute 'PiggyBank X' numeric
@attribute 'PiggyBank Y' numeric
@attribute 'PiggyBank Z' numeric
@attribute 'Camera Position X' numeric
@attribute 'Camera Position Y' numeric
@attribute 'Camera Position Z' numeric
@attribute 'Camera Rotation X' numeric
@attribute 'Camera Rotation Y' numeric
@attribute 'Camera Rotation Z' numeric
@attribute 'Don\'t Touch X' numeric
@attribute 'Water Volume Rise' numeric
@attribute 'Don\'t Touch Z' numeric

@data
5189,'2024/04/19 15:32:19:761',16,-0.063688,-0.002543,-0.997967,-0.02429,-0.009514,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
5190,'2024/04/19 15:32:19:761',16,-0.063688,-0.002543,-0.997967,-0.007693,-0.009514,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
5191,'2024/04/19 15:32:19:786',16,-0.063688,-0.002543,-0.997972,-0.007693,-0.009514,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
5192,'2024/04/19 15:32:19:786',16,-0.063688,-0.003108,-0.997972,-0.007693,-0.009514,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
5193,'2024/04/19 15:32:19:786',16,-0.063578,-0.003108,-0.997972,-0.007693,-0.009514,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
5194,'2024/04/19 15:32:19:786',16,-0.063578,-0.003108,-0.997972,-0.007693,-0.009514,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5195,'2024/04/19 15:32:19:786',16,-0.063578,-0.003108,-0.997972,-0.007693,0.019708,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5196,'2024/04/19 15:32:19:786',16,-0.063578,-0.003108,-0.997972,0.042055,0.019708,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5197,'2024/04/19 15:32:19:796',16,-0.063578,-0.003108,-0.997988,0.042055,0.019708,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5198,'2024/04/19 15:32:19:796',16,-0.063578,-0.003792,-0.997988,0.042055,0.019708,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5199,'2024/04/19 15:32:19:796',16,-0.063298,-0.003792,-0.997988,0.042055,0.019708,0.010293,?,?,?,?,?,?,?,?,?,?,?,?
5200,'2024/04/19 15:32:19:796',16,-0.063298,-0.003792,-0.997988,0.042055,0.019708,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5201,'2024/04/19 15:32:19:796',16,-0.063298,-0.003792,-0.997988,0.042055,0.022639,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5202,'2024/04/19 15:32:19:796',16,-0.063298,-0.003792,-0.997988,0.044474,0.022639,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5203,'2024/04/19 15:32:19:819',16,-0.063298,-0.003792,-0.997998,0.044474,0.022639,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5204,'2024/04/19 15:32:19:819',16,-0.063298,-0.004504,-0.997998,0.044474,0.022639,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5205,'2024/04/19 15:32:19:819',16,-0.063091,-0.004504,-0.997998,0.044474,0.022639,0.000749,?,?,?,?,?,?,?,?,?,?,?,?
5206,'2024/04/19 15:32:19:819',16,-0.063091,-0.004504,-0.997998,0.044474,0.022639,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
5207,'2024/04/19 15:32:19:819',16,-0.063091,-0.004504,-0.997998,0.044474,-0.003441,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
